project_id,project_name,project_latitude,project_longitude,project_phase_id,phase_description,project_type,project_category,construction_category,project_city,project_state,project_date,project_sq_ft,qty_unit_cost_calc,labor_total_calc,material_total_calc,equipment_total_calc,other_cost1_calc,other_cost2_calc,other_cost3_calc,other_cost3_calc.1,total_cost_calc,total_project_cost,acf,cost_per_sq_ft,cnt_division,cnt_item_code,cnt_csi_grp_unq,county_name,area_type,year,cpi,inflation_factor,total_project_cost_normalized_2025,official_budget_range,ciqs_complexity_category,complexity_numeric,budget_midpoint
MDAwMDBUMDI0X1RSQUZGSUMgU0lHTlNfQSBIIENPLiwgSU5DLg==,"TRAFFIC SIGNS - A H CO., INC. bid",41.5861,-93.625,,,Pavement Markers,Civil,"Civil, Infrastructure & Landscaping",STATEWIDE,IA,1/16/2019,180,230330,121848,212396,60331,196053,0,0,0,590627,230330,0.99000001,0,7,9,10,Polk County,Rural,2019,255.7,1.254595229,288970.919,Less than $1M,Category 2,2,0
MDAwMDBUMDI1X1RSQUZGSUMgU0lHTlNfSyBXIEVMRUNUUklDLCBJTkMu,"TRAFFIC SIGNS - K W ELECTRIC, INC. bid",41.5861,-93.625,,,Pavement Markers,Civil,"Civil, Infrastructure & Landscaping",STATEWIDE,IA,2/19/2019,180,499569,121848,212396,60331,196053,0,0,0,590627,499569,0.99000001,0,6,8,9,Polk County,Rural,2019,255.7,1.254595229,626756.8838,Less than $1M,Category 2,2,0
MDAwMDBUMDI2X1RSQUZGSUMgU0lHTlNfSyBXIEVMRUNUUklDLCBJTkMu,"TRAFFIC SIGNS - K W ELECTRIC, INC. bid",41.5861,-93.625,,,Pavement Markers,Civil,"Civil, Infrastructure & Landscaping",STATEWIDE,IA,4/16/2019,180,239945,121848,212396,60331,196053,0,0,0,590627,239945,0.99000001,0,6,8,9,Polk County,Rural,2019,255.7,1.254595229,301033.8522,Less than $1M,Category 2,2,0
MDAwMDBUMDIzX1RSQUZGSUMgU0lHTlNfQ09MTElOUyBIRVJNQU5OLCBJTkMu,"TRAFFIC SIGNS - COLLINS HERMANN, INC. bid",41.5861,-93.625,,,Pavement Markers,Civil,"Civil, Infrastructure & Landscaping",STATEWIDE,IA,11/20/2018,180,366366,121848,212396,60331,196053,0,0,0,590627,366366,0.99000001,0,7,9,10,Polk County,Rural,2018,251.1,1.277578654,468061.3811,Less than $1M,Category 2,2,0
MDAwMDBUMDk1X1RSQUZGSUMgU0lHTlNfQ09MTElOUyBIRVJNQU5OLCBJTkMu,"TRAFFIC SIGNS - COLLINS HERMANN, INC. bid",41.5861,-93.625,,,Pavement Markers,Civil,"Civil, Infrastructure & Landscaping",STATEWIDE,IA,6/16/2020,180,100000,121848,212396,60331,196053,0,0,0,590627,100000,0.99000001,0,3,4,4,Polk County,Rural,2020,258.8,1.239567233,123956.7233,Less than $1M,Category 1,1,0
MDAwMDBUMDk2X1RSQUZGSUMgU0lHTlNfQ09MTElOUyBIRVJNQU5OLCBJTkMu,"TRAFFIC SIGNS - COLLINS HERMANN, INC. bid",41.5861,-93.625,,,Pavement Markers,Civil,"Civil, Infrastructure & Landscaping",STATEWIDE,IA,10/15/2019,180,236236,121848,212396,60331,196053,0,0,0,590627,236236,0.99000001,0,6,8,9,Polk County,Rural,2019,255.7,1.254595229,296380.5585,Less than $1M,Category 2,2,0
MDAwMDBUMDk3X1RSQUZGSUMgU0lHTlNfQ09MTElOUyBIRVJNQU5OLCBJTkMu,"TRAFFIC SIGNS - COLLINS HERMANN, INC. bid",41.5861,-93.625,,,Pavement Markers,Civil,"Civil, Infrastructure & Landscaping",STATEWIDE,IA,11/19/2019,180,244444,121848,212396,60331,196053,0,0,0,590627,244444,0.99000001,0,6,8,9,Polk County,Rural,2019,255.7,1.254595229,306678.2761,Less than $1M,Category 2,2,0
MDAwMDBUMDk3X1RSQUZGSUMgU0lHTlNfQSBIIENPLiwgSU5DLg==,"TRAFFIC SIGNS - A H CO., INC. bid",41.5861,-93.625,,,Pavement Markers,Civil,"Civil, Infrastructure & Landscaping",STATEWIDE,IA,11/19/2019,180,116985,121848,212396,60331,196053,0,0,0,590627,116985,0.99000001,0,6,8,9,Polk County,Rural,2019,255.7,1.254595229,146768.8228,Less than $1M,Category 2,2,0
MDAwMDBUMDk3X1RSQUZGSUMgU0lHTlNfVk9MVE1FUiwgSU5DLg==,"TRAFFIC SIGNS - VOLTMER, INC. bid",41.5861,-93.625,,,Pavement Markers,Civil,"Civil, Infrastructure & Landscaping",STATEWIDE,IA,11/19/2019,180,105018,121848,212396,60331,196053,0,0,0,590627,105018,0.99000001,0,6,8,9,Polk County,Rural,2019,255.7,1.254595229,131755.0817,Less than $1M,Category 2,2,0
MDAwMDBUMDk4X1RSQUZGSUMgU0lHTlNfQSBIIENPLiwgSU5DLg==,"TRAFFIC SIGNS - A H CO., INC. bid",41.5861,-93.625,,,Pavement Markers,Civil,"Civil, Infrastructure & Landscaping",STATEWIDE,IA,1/22/2020,180,720268,121848,212396,60331,196053,0,0,0,590627,720268,0.99000001,0,7,9,10,Polk County,Rural,2020,258.8,1.239567233,892820.6121,Less than $1M,Category 2,2,0
