project_longitude,project_latitude,county_name,county_fips,state_fips
-84.43306,33.633141,Clayton County,13063,13
-84.356606,33.505554,Clayton County,13063,13
-84.366959,33.761509,Fulton County,13121,13
-84.395576,33.764141,Fulton County,13121,13
-84.395575,33.764139,Fulton County,13121,13
-84.375359,33.750118,Fulton County,13121,13
-81.932048,34.949567,Spartanburg County,45083,45
-84.240677,33.468193,Henry County,13151,13
-80.843124,35.227085,Mecklenburg County,37119,37
-84.432594,33.632824,Clayton County,13063,13
-84.433059,33.633142,Clayton County,13063,13
-84.229406,33.769407,DeKalb County,13089,13
-84.979294,32.465664,Muscogee County,13215,13
-79.39722,34.18,Marion County,45067,45
-82.394,34.8526,Greenville County,45045,45
44.49091,-63.741854,,,
-82.377687,34.178544,Abbeville County,45001,45
35.865226,-93.463606,,,
-79.7568,34.1984,Florence County,45041,45
-80.3414693,33.9204354,Sumter County,45085,45
-102.87,46.17,Adams County,38001,38
-83.32,36.84139,Harlan County,21095,21
-82.0142597,34.4990116,Laurens County,45059,45
-81.03,34.93,York County,45091,45
41.794103,-87.621789,,,
-81.14222,33.32111,Bamberg County,45009,45
-81.6498195,35.0717945,Cherokee County,45021,45
-81.03472,34.00056,Richland County,45079,45
-80.7526,32.2163,Beaufort County,45013,45
-81.9275,34.94667,Spartanburg County,45083,45
-79.9311,32.7765,Charleston County,45019,45
-81.966667,33.466667,Richmond County,13245,13
40.94935,-74.152706,,,
-98.65,46.92,Stutsman County,38093,38
-80.210913,33.695163,Clarendon County,45027,45
-82.385556,34.844444,Greenville County,45045,45
-98.123984,47.444438,Griggs County,38039,38
35.472989,-97.517054,,,
-81.0348,34.0007,Richland County,45079,45
-101.41667,47.65278,McLean County,38055,38
37.526933,-79.197179,,,
-100.7833,48.8333,Bottineau County,38009,38
-79.048889,33.551667,Georgetown County,45043,45
-97.40556,48.41417,Walsh County,38099,38
-78.886696,33.68906,Horry County,45051,45
-101.279006,48.237614,Ward County,38101,38
-79.762566,34.195435,Florence County,45041,45
-81.929444,33.789444,Edgefield County,45037,45
-79.930923,32.776566,Charleston County,45019,45
-80.2488889,34.2188889,Lee County,45061,45
-81.0348144,34.0007104,Richland County,45079,45
-80.86,33.49,Orangeburg County,45075,45
-81.03481,34.00071,Richland County,45079,45
